 TTY,NAME,RXCUI,TTY,PARENT NDC FROM CDC,PARENT RXCUI,STRING MATCH
,,,,,,
BN,Vicoprofen,220826,BN,52959073860,858798,
BPCK,,,,52959073860,858798,
GPCK,,,,52959073860,858798,
MIN,Hydrocodone / Ibuprofen,214627,MIN,52959073860,858798,HYDROCODONE
PIN,Hydrocodone Bitartrate,142439,PIN,52959073860,858798,HYDROCODONE
SBD,Hydrocodone Bitartrate 7.5 MG / Ibuprofen 200 MG Oral Tablet [Vicoprofen],858838,SBD,52959073860,858798,HYDROCODONE
SBDC,Hydrocodone Bitartrate 7.5 MG / Ibuprofen 200 MG [Vicoprofen],858837,SBDC,52959073860,858798,HYDROCODONE
SBDF,Hydrocodone / Ibuprofen Oral Tablet [Vicoprofen],368308,SBDF,52959073860,858798,HYDROCODONE
SCD,Hydrocodone Bitartrate 7.5 MG / Ibuprofen 200 MG Oral Tablet,858798,SCD,52959073860,858798,HYDROCODONE
SCDF,Hydrocodone / Ibuprofen Oral Tablet,370676,SCDF,52959073860,858798,HYDROCODONE
SCDG,Hydrocodone / Ibuprofen Oral Product,1162788,SCDG,52959073860,858798,HYDROCODONE
SCDG,Hydrocodone / Ibuprofen Pill,1162789,SCDG,52959073860,858798,HYDROCODONE
SBDG,Vicoprofen Oral Product,1186574,SBDG,52959073860,858798,
SBDG,Vicoprofen Pill,1186575,SBDG,52959073860,858798,
BN,Ibudone,1372755,BN,603358421,858778,
BN,Reprexain,579458,BN,603358421,858778,
BPCK,,,,603358421,858778,
GPCK,,,,603358421,858778,
MIN,Hydrocodone / Ibuprofen,214627,MIN,603358421,858778,HYDROCODONE
PIN,Hydrocodone Bitartrate,142439,PIN,603358421,858778,HYDROCODONE
SBD,Hydrocodone Bitartrate 5 MG / Ibuprofen 200 MG Oral Tablet [Ibudone],858780,SBD,603358421,858778,HYDROCODONE
SBD,Hydrocodone Bitartrate 5 MG / Ibuprofen 200 MG Oral Tablet [Reprexain],858784,SBD,603358421,858778,HYDROCODONE
SBDC,Hydrocodone Bitartrate 5 MG / Ibuprofen 200 MG [Ibudone],858779,SBDC,603358421,858778,HYDROCODONE
SBDC,Hydrocodone Bitartrate 5 MG / Ibuprofen 200 MG [Reprexain],858783,SBDC,603358421,858778,HYDROCODONE
SBDF,Hydrocodone / Ibuprofen Oral Tablet [Reprexain],,SBDF,603358421,858778,HYDROCODONE
SBDF,Hydrocodone / Ibuprofen Oral Tablet [Ibudone],758973,SBDF,603358421,858778,HYDROCODONE
SCD,Hydrocodone Bitartrate 5 MG / Ibuprofen 200 MG Oral Tablet,858778,SCD,603358421,858778,HYDROCODONE
SCDF,Hydrocodone / Ibuprofen Oral Tablet,370676,SCDF,603358421,858778,HYDROCODONE
SCDG,Hydrocodone / Ibuprofen Oral Product,1162788,SCDG,603358421,858778,HYDROCODONE
SCDG,Hydrocodone / Ibuprofen Pill,1162789,SCDG,603358421,858778,HYDROCODONE
SBDG,Ibudone Oral Product,1166579,SBDG,603358421,858778,
SBDG,Ibudone Pill,1166582,SBDG,603358421,858778,
SBDG,Reprexain Oral Product,1181342,SBDG,603358421,858778,
SBDG,Reprexain Pill,1181345,SBDG,603358421,858778,
,,,,591349401,,
BN,Ibudone,1372755,BN,53746011701,859315,
BN,Reprexain,579458,BN,53746011701,859315,
BN,Xylon,1542983,BN,53746011701,859315,
BPCK,,,,53746011701,859315,
GPCK,,,,53746011701,859315,
MIN,Hydrocodone / Ibuprofen,214627,MIN,53746011701,859315,HYDROCODONE
PIN,Hydrocodone Bitartrate,142439,PIN,53746011701,859315,HYDROCODONE
SBD,Hydrocodone Bitartrate 10 MG / Ibuprofen 200 MG Oral Tablet [Ibudone],859317,SBD,53746011701,859315,HYDROCODONE
SBD,Hydrocodone Bitartrate 10 MG / Ibuprofen 200 MG Oral Tablet [Reprexain],859331,SBD,53746011701,859315,HYDROCODONE
